Day,Date,Fassala-Mbera sim,Fassala-Mbera data,Fassala-Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2012-02-29,463,463,0.0,0,0,0.0,0,0,0.0,34,34,0.0,43,43,0.0,0,0,0.0,0,0,0.0,0.0,540,540,1543,540,0
1,2012-03-01,462,482,0.0415,0,0,0.0,0,0,0.0,34,34,0.0,43,43,0.0,0,0,0.0,0,0,0.0,0.012804097311139564,559,559,1562,539,0
2,2012-03-02,463,502,0.0777,0,0,0.0,0,0,0.0,34,34,0.0,43,43,0.0,0,0,0.0,0,0,0.0,0.02465233881163085,579,579,1582,540,0
3,2012-03-03,463,521,0.1113,0,0,0.0,0,0,0.0,34,33,0.0303,43,43,0.0,0,0,0.0,0,0,0.0,0.036875,597,597,1600,540,0
4,2012-03-04,464,540,0.1407,0,0,0.0,0,0,0.0,34,33,0.0303,43,43,0.0,0,0,0.0,0,0,0.0,0.04756022235948116,616,616,1619,541,0
5,2012-03-05,464,560,0.1714,0,0,0.0,0,0,0.0,34,33,0.0303,43,43,0.0,0,0,0.0,0,0,0.0,0.059182428309945086,636,636,1639,541,0
6,2012-03-06,463,579,0.2003,0,0,0.0,0,0,0.0,34,32,0.0625,43,43,0.0,0,0,0.0,0,0,0.0,0.0712130356065178,654,654,1657,540,0
7,2012-03-07,466,598,0.2207,0,0,0.0,0,0,0.0,34,32,0.0625,43,43,0.0,0,0,0.0,0,0,0.0,0.07995226730310262,673,673,1676,543,0
8,2012-03-08,467,626,0.254,0,0,0.0,0,0,0.0,34,32,0.0625,43,43,0.0,0,0,0.0,0,0,0.0,0.09448356807511737,701,701,1704,544,0
9,2012-03-09,467,653,0.2848,0,0,0.0,0,0,0.0,34,31,0.0968,43,43,0.0,0,0,0.0,0,0,0.0,0.1092485549132948,727,727,1730,544,0
10,2012-03-10,468,680,0.3118,0,0,0.0,0,0,0.0,34,31,0.0968,43,43,0.0,0,0,0.0,0,0,0.0,0.12236767216846899,754,754,1757,545,0
11,2012-03-11,468,707,0.338,0,0,0.0,0,0,0.0,34,31,0.0968,43,43,0.0,0,0,0.0,0,0,0.0,0.13565022421524664,781,781,1784,545,0
12,2012-03-12,467,734,0.3638,0,0,0.0,0,0,0.0,34,30,0.1333,43,43,0.0,0,0,0.0,0,0,0.0,0.14972375690607734,807,807,1810,544,0
13,2012-03-13,468,761,0.385,0,0,0.0,0,0,0.0,34,30,0.1333,42,43,0.0233,0,0,0.0,1,0,0.0,0.16276537833424062,834,834,1837,545,0
14,2012-03-14,469,789,0.4056,0,0,0.0,0,0,0.0,34,29,0.1724,42,43,0.0233,0,0,0.0,1,0,0.0,0.17542918454935622,861,861,1864,546,0
15,2012-03-15,473,816,0.4203,0,0,0.0,0,0,0.0,34,29,0.1724,42,43,0.0233,0,0,0.0,1,0,0.0,0.1850872554204125,888,888,1891,550,0
16,2012-03-16,478,843,0.433,0,0,0.0,0,0,0.0,34,29,0.1724,42,43,0.0233,0,0,0.0,1,0,0.0,0.19395203336809178,915,915,1918,555,0
17,2012-03-17,479,870,0.4494,0,0,0.0,0,0,0.0,34,28,0.2143,42,43,0.0233,0,0,0.0,1,0,0.0,0.2052469135802469,941,941,1944,556,0
18,2012-03-18,485,897,0.4593,0,0,0.0,0,0,0.0,34,28,0.2143,42,43,0.0233,0,0,0.0,1,0,0.0,0.213089802130898,968,968,1971,562,0
19,2012-03-19,485,925,0.4757,0,0,0.0,0,0,0.0,34,28,0.2143,42,43,0.0233,0,0,0.0,1,0,0.0,0.224112056028014,996,996,1999,562,0
20,2012-03-20,487,952,0.4884,0,0,0.0,0,0,0.0,34,27,0.2593,42,43,0.0233,0,0,0.0,1,0,0.0,0.23407407407407407,1022,1022,2025,564,0
21,2012-03-21,490,979,0.4995,0,0,0.0,0,0,0.0,34,27,0.2593,42,43,0.0233,0,0,0.0,1,0,0.0,0.24269005847953215,1049,1049,2052,567,0
22,2012-03-22,490,1006,0.5129,0,39,1.0,0,15,1.0,34,27,0.2593,42,43,0.0233,0,0,0.0,1,0,0.0,0.2714486638537271,1130,1130,2133,567,0
23,2012-03-23,493,1033,0.5227,1,79,0.9873,3,31,0.9032,34,26,0.3077,42,43,0.0233,0,0,0.0,1,0,0.0,0.2961625282167043,1212,1212,2215,574,0
24,2012-03-24,500,1060,0.5283,7,119,0.9412,4,47,0.9149,34,26,0.3077,42,43,0.0233,0,0,0.0,1,0,0.0,0.3154917319408181,1295,1295,2298,588,0
25,2012-03-25,508,1088,0.5331,12,119,0.8992,7,47,0.8511,34,26,0.3077,42,43,0.0233,0,0,0.0,1,0,0.0,0.3168529664660361,1323,1323,2326,604,0
26,2012-03-26,510,1115,0.5426,16,119,0.8655,10,47,0.7872,34,25,0.36,42,43,0.0233,0,0,0.0,1,0,0.0,0.32142857142857145,1349,1349,2352,613,0
27,2012-03-27,521,1142,0.5438,20,119,0.8319,15,47,0.6809,34,25,0.36,42,43,0.0233,0,0,0.0,1,0,0.0,0.3207229928541404,1376,1376,2379,633,0
28,2012-03-28,527,1169,0.5492,28,119,0.7647,18,48,0.625,34,24,0.4167,42,43,0.0233,0,0,0.0,1,0,0.0,0.32211138819617624,1403,1403,2406,650,0
29,2012-03-29,530,1176,0.5493,30,119,0.7479,20,48,0.5833,34,24,0.4167,42,43,0.0233,0,0,0.0,1,0,0.0,0.32117695814339,1410,1410,2413,657,0
30,2012-03-30,535,1183,0.5478,33,119,0.7227,24,48,0.5,34,24,0.4167,42,43,0.0233,0,0,0.0,1,0,0.0,0.3181818181818182,1417,1417,2420,669,0
31,2012-03-31,540,1191,0.5466,40,119,0.6639,25,48,0.4792,34,23,0.4783,42,43,0.0233,0,0,0.0,1,0,0.0,0.3156159868149979,1424,1424,2427,682,0
32,2012-04-01,549,1198,0.5417,47,119,0.605,35,48,0.2708,34,28,0.2143,42,44,0.0455,0,1,1.0,1,0,0.0,0.30479311757476446,1438,1438,2441,708,0
33,2012-04-02,557,1213,0.5408,66,119,0.4454,35,48,0.2708,44,34,0.2941,46,44,0.0455,0,3,1.0,42,1,41.0,0.3156186612576065,1462,1462,2465,790,0
34,2012-04-03,561,1229,0.5435,76,119,0.3613,39,49,0.2041,44,39,0.1282,47,45,0.0444,0,5,1.0,50,2,24.0,0.3135287033319952,1488,1488,2491,817,0
35,2012-04-04,565,1244,0.5458,88,119,0.2605,44,49,0.102,50,44,0.1364,47,46,0.0217,0,7,1.0,58,3,18.3333,0.3117296222664016,1512,1512,2515,852,0
36,2012-04-05,569,1260,0.5484,96,119,0.1933,52,49,0.0612,51,49,0.0408,48,47,0.0213,0,9,1.0,70,4,16.5,0.31299212598425197,1537,1537,2540,886,0
37,2012-04-06,576,1275,0.5482,113,119,0.0504,59,49,0.2041,52,54,0.037,48,48,0.0,0,11,1.0,78,5,14.6,0.312402496099844,1561,1561,2564,926,0
38,2012-04-07,584,1291,0.5476,126,119,0.0588,66,49,0.3469,53,59,0.1017,49,49,0.0,0,13,1.0,84,6,13.0,0.31981460023174973,1586,1586,2589,962,0
39,2012-04-08,590,1306,0.5482,137,119,0.1513,69,49,0.4082,54,64,0.1562,49,50,0.02,1,15,0.9333,95,7,12.5714,0.33180252583237657,1610,1610,2613,995,0
40,2012-04-09,596,1322,0.5492,146,123,0.187,79,49,0.6122,56,69,0.1884,51,51,0.0,1,17,0.9412,105,8,12.125,0.3425435276305829,1639,1639,2642,1034,0
41,2012-04-10,601,1337,0.5505,153,126,0.2143,84,50,0.68,56,74,0.2432,52,52,0.0,1,19,0.9474,119,9,12.2222,0.35318352059925096,1667,1667,2670,1066,0
42,2012-04-11,614,1353,0.5462,162,130,0.2462,88,50,0.76,60,79,0.2405,55,53,0.0377,1,21,0.9524,126,10,11.6,0.35791033716191184,1696,1696,2699,1106,0
43,2012-04-12,621,1368,0.5461,167,133,0.2556,97,50,0.94,63,84,0.25,56,53,0.0566,1,23,0.9565,137,11,11.4545,0.3669724770642202,1722,1722,2725,1142,0
44,2012-04-13,630,1384,0.5448,176,137,0.2847,100,50,1.0,64,89,0.2809,57,54,0.0556,1,25,0.96,148,12,11.3333,0.3743645606390704,1751,1751,2754,1176,0
45,2012-04-14,634,1399,0.5468,181,140,0.2929,100,50,1.0,67,94,0.2872,58,55,0.0545,1,27,0.963,153,13,10.7692,0.3782811938151744,1778,1778,2781,1194,0
46,2012-04-15,646,1415,0.5435,190,143,0.3287,100,50,1.0,67,99,0.3232,59,56,0.0536,1,29,0.9655,161,14,10.5,0.38305446778212887,1806,1806,2809,1224,0
47,2012-04-16,654,1427,0.5417,199,147,0.3537,100,50,1.0,70,104,0.3269,60,57,0.0526,1,31,0.9677,170,15,10.3333,0.38708539167254763,1831,1831,2834,1254,0
48,2012-04-17,659,1439,0.542,212,150,0.4133,100,50,1.0,73,110,0.3364,61,58,0.0517,1,33,0.9697,179,16,10.1875,0.39419377404686956,1856,1856,2859,1285,0
49,2012-04-18,666,1451,0.541,226,154,0.4675,100,51,0.9608,74,115,0.3565,61,59,0.0339,1,35,0.9714,192,17,10.2941,0.40138648180242636,1882,1882,2885,1320,0
50,2012-04-19,671,1463,0.5414,236,157,0.5032,100,51,0.9608,76,120,0.3667,62,60,0.0333,2,37,0.9459,198,18,10.0,0.40598143691990374,1906,1906,2909,1345,0
51,2012-04-20,678,1475,0.5403,243,161,0.5093,100,51,0.9608,77,125,0.384,64,61,0.0492,2,39,0.9487,202,19,9.6316,0.40865712338104976,1931,1931,2934,1366,0
52,2012-04-21,684,1488,0.5403,247,164,0.5061,100,51,0.9608,82,130,0.3692,65,62,0.0484,2,41,0.9512,207,20,9.35,0.40993578911794526,1956,1956,2959,1387,0
53,2012-04-22,685,1500,0.5433,257,168,0.5298,99,51,0.9412,83,135,0.3852,65,62,0.0484,3,43,0.9302,214,21,9.1905,0.4156889037881328,1980,1980,2983,1406,0
54,2012-04-23,688,1512,0.545,269,171,0.5731,99,51,0.9412,83,140,0.4071,68,63,0.0794,3,45,0.9333,222,22,9.0909,0.423678084469571,2004,2004,3007,1432,0
55,2012-04-24,695,1524,0.544,281,175,0.6057,99,51,0.9412,83,145,0.4276,70,64,0.0938,3,47,0.9362,230,23,9.0,0.42941952506596304,2029,2029,3032,1461,0
56,2012-04-25,701,1536,0.5436,292,178,0.6404,99,52,0.9038,86,150,0.4267,71,65,0.0923,3,48,0.9375,238,24,8.9167,0.43357329842931935,2053,2053,3056,1490,0
57,2012-04-26,708,1548,0.5426,301,182,0.6538,99,52,0.9038,88,155,0.4323,72,66,0.0909,3,50,0.94,248,25,8.92,0.43784485556637454,2078,2078,3081,1519,0
58,2012-04-27,718,1560,0.5397,309,185,0.6703,99,52,0.9038,90,160,0.4375,73,67,0.0896,3,52,0.9423,251,26,8.6538,0.4389694041867955,2102,2102,3105,1543,0
59,2012-04-28,724,1572,0.5394,324,188,0.7234,99,52,0.9038,90,165,0.4545,74,68,0.0882,3,54,0.9444,262,27,8.7037,0.4467881112176414,2126,2126,3129,1576,0
60,2012-04-29,727,1585,0.5413,334,192,0.7396,99,52,0.9038,91,170,0.4647,76,69,0.1014,3,56,0.9464,269,28,8.6071,0.45229793977812993,2152,2152,3155,1599,0
61,2012-04-30,738,1597,0.5379,333,195,0.7077,99,52,0.9038,93,175,0.4686,77,70,0.1,3,58,0.9483,273,29,8.4138,0.4504561182761875,2176,2176,3179,1616,0
62,2012-05-01,743,1609,0.5382,332,199,0.6683,99,52,0.9038,94,178,0.4719,77,70,0.1,3,60,0.95,278,30,8.2667,0.4504842236801,2198,2198,3201,1626,0
63,2012-05-02,748,1621,0.5386,332,202,0.6436,99,52,0.9038,96,180,0.4667,79,71,0.1127,3,62,0.9516,288,31,8.2903,0.45251396648044695,2219,2219,3222,1645,0
64,2012-05-03,753,1633,0.5389,332,206,0.6117,99,53,0.8679,100,182,0.4505,80,71,0.1268,3,64,0.9531,290,31,8.3548,0.4511255010792476,2240,2240,3243,1657,0
65,2012-05-04,759,1637,0.5363,332,209,0.5885,99,53,0.8679,101,184,0.4511,81,72,0.125,3,66,0.9545,296,32,8.25,0.45024570024570026,2253,2253,3256,1671,0
66,2012-05-05,763,1641,0.535,332,213,0.5587,99,53,0.8679,101,186,0.457,82,72,0.1389,3,68,0.9559,297,33,8.0,0.44876108901804834,2266,2266,3269,1677,0
67,2012-05-06,767,1644,0.5335,332,216,0.537,97,53,0.8302,103,189,0.455,83,73,0.137,3,70,0.9571,296,34,7.7059,0.445460085313833,2279,2279,3282,1681,0
68,2012-05-07,774,1648,0.5303,332,220,0.5091,97,53,0.8302,104,191,0.4555,84,73,0.1507,3,72,0.9583,296,35,7.4571,0.4424886191198786,2292,2292,3295,1690,0
69,2012-05-08,778,1652,0.5291,331,223,0.4843,97,53,0.8302,105,193,0.456,89,74,0.2027,3,74,0.9595,296,36,7.2222,0.44135429262394194,2305,2305,3308,1699,0
70,2012-05-09,786,1656,0.5254,331,227,0.4581,97,53,0.8302,106,195,0.4564,92,74,0.2432,3,76,0.9605,295,37,6.973,0.43842216199939776,2318,2318,3321,1710,0
71,2012-05-10,788,1659,0.525,331,230,0.4391,97,54,0.7963,108,197,0.4518,93,75,0.24,3,78,0.9615,295,38,6.7632,0.4361127774445111,2331,2331,3334,1715,0
72,2012-05-11,794,1663,0.5225,331,233,0.4206,97,54,0.7963,108,199,0.4573,95,75,0.2667,3,80,0.9625,294,39,6.5385,0.4342498505678422,2343,2343,3346,1722,0
73,2012-05-12,804,1667,0.5177,329,237,0.3882,97,54,0.7963,110,202,0.4554,96,75,0.28,3,82,0.9634,297,40,6.425,0.43065476190476193,2357,2357,3360,1736,0
74,2012-05-13,807,1670,0.5168,329,240,0.3708,97,54,0.7963,111,204,0.4559,99,76,0.3026,4,84,0.9524,295,41,6.1951,0.42852906287069986,2369,2369,3372,1742,0
75,2012-05-14,815,1674,0.5131,329,244,0.3484,97,54,0.7963,114,206,0.4466,100,76,0.3158,4,86,0.9535,295,42,6.0238,0.42481536189069424,2382,2382,3385,1754,0
76,2012-05-15,819,1678,0.5119,328,247,0.3279,97,54,0.7963,115,208,0.4471,100,77,0.2987,4,88,0.9545,295,43,5.8605,0.42230723955267807,2395,2395,3398,1758,0
77,2012-05-16,825,1682,0.5095,328,251,0.3068,97,54,0.7963,118,210,0.4381,101,77,0.3117,4,90,0.9556,295,44,5.7045,0.41923189680445616,2408,2408,3411,1768,0
78,2012-05-17,829,1685,0.508,328,254,0.2913,97,55,0.7636,120,212,0.434,102,78,0.3077,4,92,0.9565,295,45,5.5556,0.41647196261682246,2421,2421,3424,1775,0
79,2012-05-18,836,1689,0.505,327,258,0.2674,97,55,0.7636,121,215,0.4372,102,78,0.3077,4,94,0.9574,295,46,5.413,0.4133216986620128,2435,2435,3438,1782,0
80,2012-05-19,839,1693,0.5044,330,258,0.2791,97,55,0.7636,123,217,0.4332,102,79,0.2911,4,96,0.9583,295,47,5.2766,0.4132830626450116,2445,2445,3448,1790,0
81,2012-05-20,842,1696,0.5035,333,259,0.2857,96,55,0.7455,127,219,0.4201,102,79,0.2911,4,97,0.9588,295,48,5.1458,0.41203703703703703,2453,2453,3456,1799,0
82,2012-05-21,851,1700,0.4994,333,259,0.2857,96,55,0.7455,127,221,0.4253,102,80,0.275,5,99,0.9495,294,49,5.0,0.40940565493364106,2463,2463,3466,1808,0
83,2012-05-22,856,1704,0.4977,332,260,0.2769,96,55,0.7455,128,223,0.426,104,80,0.3,6,101,0.9406,297,50,4.94,0.4090909090909091,2473,2473,3476,1819,0
84,2012-05-23,865,1708,0.4936,332,260,0.2769,96,55,0.7455,128,226,0.4336,106,81,0.3086,6,103,0.9417,297,51,4.8235,0.40780040149125324,2484,2484,3487,1830,0
85,2012-05-24,870,1711,0.4915,332,261,0.272,96,55,0.7455,130,228,0.4298,107,81,0.321,6,105,0.9429,297,52,4.7115,0.4064645308924485,2493,2493,3496,1838,0
86,2012-05-25,877,1715,0.4886,330,261,0.2644,96,56,0.7143,130,230,0.4348,107,82,0.3049,7,107,0.9346,296,53,4.5849,0.40347875677216993,2504,2504,3507,1843,0
87,2012-05-26,883,1719,0.4863,330,262,0.2595,96,56,0.7143,134,232,0.4224,109,82,0.3293,7,109,0.9358,296,54,4.4815,0.40176286607904466,2514,2514,3517,1855,0
88,2012-05-27,890,1723,0.4835,330,262,0.2595,96,56,0.7143,135,234,0.4231,112,83,0.3494,7,111,0.9369,295,55,4.3636,0.40062375956903884,2524,2524,3527,1865,0
89,2012-05-28,896,1726,0.4809,330,263,0.2548,96,56,0.7143,136,236,0.4237,112,83,0.3494,7,113,0.9381,295,56,4.2679,0.39903846153846156,2533,2533,3536,1872,0
90,2012-05-29,901,1730,0.4792,329,263,0.251,96,56,0.7143,136,239,0.431,113,84,0.3452,8,115,0.9304,295,57,4.1754,0.3980828869467155,2544,2544,3547,1878,0
91,2012-05-30,906,1734,0.4775,329,264,0.2462,96,56,0.7143,141,241,0.4149,114,84,0.3571,8,117,0.9316,295,58,4.0862,0.39612032611751474,2554,2554,3557,1889,0
92,2012-05-31,910,1737,0.4761,327,264,0.2386,96,56,0.7143,144,243,0.4074,114,85,0.3412,8,119,0.9328,295,59,4.0,0.3939988782950084,2563,2563,3566,1894,0
93,2012-06-01,915,1741,0.4744,331,265,0.2491,96,57,0.6842,145,245,0.4082,116,85,0.3647,8,121,0.9339,294,60,3.9,0.3939055074084428,2574,2574,3577,1905,0
94,2012-06-02,924,1745,0.4705,338,265,0.2755,96,57,0.6842,145,247,0.413,117,86,0.3605,9,123,0.9268,294,61,3.8197,0.39392249790911626,2584,2584,3587,1923,0
95,2012-06-03,935,1749,0.4654,338,266,0.2707,96,57,0.6842,149,250,0.404,118,86,0.3721,9,125,0.928,294,62,3.7419,0.3907726514730406,2595,2595,3598,1939,0
96,2012-06-04,935,1757,0.4678,338,266,0.2707,96,57,0.6842,151,252,0.4008,121,87,0.3908,9,127,0.9291,294,62,3.7419,0.39268900581556354,2608,2608,3611,1944,0
97,2012-06-05,943,1766,0.466,337,267,0.2622,96,57,0.6842,154,254,0.3937,122,87,0.4023,9,129,0.9302,294,63,3.6667,0.3910645339216768,2623,2623,3626,1955,0
98,2012-06-06,952,1774,0.4634,337,267,0.2622,96,57,0.6842,158,256,0.3828,122,87,0.4023,9,131,0.9313,294,64,3.5938,0.3891178895300907,2636,2636,3639,1968,0
99,2012-06-07,964,1783,0.4593,334,268,0.2463,96,57,0.6842,163,258,0.3682,122,88,0.3864,9,133,0.9323,295,65,3.5385,0.38495212038303694,2652,2652,3655,1983,0
100,2012-06-08,969,1792,0.4593,334,269,0.2416,96,58,0.6552,168,260,0.3538,122,88,0.3864,9,135,0.9333,295,66,3.4697,0.38327431217651864,2668,2668,3671,1993,0
101,2012-06-09,972,1800,0.46,334,269,0.2416,96,58,0.6552,171,263,0.3498,122,89,0.3708,10,137,0.927,294,67,3.3881,0.38252848616386326,2683,2683,3686,1999,0
102,2012-06-10,973,1809,0.4621,333,270,0.2333,96,58,0.6552,175,265,0.3396,121,89,0.3596,11,139,0.9209,294,68,3.3235,0.3817887057552013,2698,2698,3701,2003,0
103,2012-06-11,981,1817,0.4601,333,270,0.2333,96,58,0.6552,177,267,0.3371,122,90,0.3556,11,141,0.922,294,69,3.2609,0.3806191117092867,2712,2712,3715,2014,0
104,2012-06-12,991,1826,0.4573,333,271,0.2288,96,58,0.6552,180,269,0.3309,122,90,0.3556,11,143,0.9231,295,70,3.2143,0.37882037533512064,2727,2727,3730,2028,0
105,2012-06-13,1000,1835,0.455,333,271,0.2288,96,58,0.6552,182,271,0.3284,122,91,0.3407,11,145,0.9241,295,71,3.1549,0.3773030707610147,2742,2742,3745,2039,0
106,2012-06-14,1008,1843,0.4531,333,272,0.2243,96,58,0.6552,184,274,0.3285,122,91,0.3407,11,146,0.9247,295,72,3.0972,0.3758978451715882,2756,2756,3759,2049,0
107,2012-06-15,1013,1852,0.453,333,272,0.2243,95,58,0.6379,190,276,0.3116,122,92,0.3261,11,148,0.9257,294,73,3.0274,0.3738738738738739,2771,2771,3774,2058,0
108,2012-06-16,1017,1860,0.4532,333,273,0.2198,95,59,0.6102,202,278,0.2734,122,92,0.3261,11,150,0.9267,294,74,2.973,0.37054631828978624,2786,2786,3789,2074,0
109,2012-06-17,1019,1869,0.4548,333,273,0.2198,95,59,0.6102,207,280,0.2607,122,93,0.3118,11,152,0.9276,294,75,2.92,0.37013669821240797,2801,2801,3804,2081,0
110,2012-06-18,1025,1878,0.4542,333,274,0.2153,95,59,0.6102,212,282,0.2482,122,93,0.3118,11,154,0.9286,294,76,2.8684,0.3686829012830584,2816,2816,3819,2092,0
111,2012-06-19,1030,1886,0.4539,332,274,0.2117,95,59,0.6102,217,284,0.2359,122,94,0.2979,11,156,0.9295,294,77,2.8182,0.36707539786068355,2830,2830,3833,2101,0
112,2012-06-20,1034,1895,0.4544,331,275,0.2036,95,59,0.6102,221,287,0.23,122,94,0.2979,11,158,0.9304,294,78,2.7692,0.36632891660171474,2846,2846,3849,2108,0
113,2012-06-21,1042,1903,0.4524,331,275,0.2036,95,59,0.6102,227,289,0.2145,122,95,0.2842,11,160,0.9312,294,79,2.7215,0.36396582966606267,2860,2860,3863,2122,0
114,2012-06-22,1049,1912,0.4514,330,276,0.1957,95,59,0.6102,233,291,0.1993,122,95,0.2842,11,162,0.9321,299,80,2.7375,0.3630737493553378,2875,2875,3878,2139,0
115,2012-06-23,1065,1921,0.4456,330,276,0.1957,95,60,0.5833,237,293,0.1911,122,96,0.2708,11,164,0.9329,299,81,2.6914,0.35901386748844377,2891,2891,3894,2159,0
116,2012-06-24,1074,1929,0.4432,329,277,0.1877,95,60,0.5833,242,295,0.1797,122,96,0.2708,12,166,0.9277,298,82,2.6341,0.3559365404298874,2905,2905,3908,2172,0
117,2012-06-25,1079,1951,0.447,329,277,0.1877,95,60,0.5833,248,297,0.165,122,97,0.2577,12,168,0.9286,298,83,2.5904,0.3567073170731707,2933,2933,3936,2183,0
118,2012-06-26,1087,1973,0.4491,329,278,0.1835,95,60,0.5833,256,300,0.1467,122,97,0.2577,12,170,0.9294,298,84,2.5476,0.3563682219419924,2962,2962,3965,2199,0
119,2012-06-27,1095,1994,0.4509,328,278,0.1799,95,60,0.5833,260,302,0.1391,121,98,0.2347,13,172,0.9244,298,85,2.5059,0.35596192384769537,2989,2989,3992,2210,0
120,2012-06-28,1101,2016,0.4539,328,279,0.1756,95,60,0.5833,266,304,0.125,123,98,0.2551,13,174,0.9253,298,86,2.4651,0.35696517412935325,3017,3017,4020,2224,0
121,2012-06-29,1105,2038,0.4578,328,279,0.1756,95,60,0.5833,270,306,0.1176,123,99,0.2424,14,176,0.9205,298,87,2.4253,0.35820158102766797,3045,3045,4048,2233,0
122,2012-06-30,1114,2059,0.459,327,280,0.1679,95,60,0.5833,274,308,0.1104,123,99,0.2424,14,178,0.9213,297,88,2.375,0.35779141104294476,3072,3072,4075,2244,0
123,2012-07-01,1123,2081,0.4604,325,280,0.1607,95,61,0.5574,286,312,0.0833,122,100,0.22,15,189,0.9206,296,88,2.3636,0.3565872630043753,3111,3111,4114,2262,0
124,2012-07-02,1135,2103,0.4603,333,281,0.1851,95,61,0.5574,295,315,0.0635,122,101,0.2079,15,201,0.9254,296,88,2.3636,0.3585359980736817,3150,3150,4153,2291,0
125,2012-07-03,1145,2125,0.4612,342,281,0.2171,95,61,0.5574,304,319,0.047,122,102,0.1961,15,212,0.9292,296,88,2.3636,0.3614889047959914,3188,3188,4191,2319,0
126,2012-07-04,1157,2146,0.4609,340,282,0.2057,95,61,0.5574,317,323,0.0186,122,103,0.1845,15,224,0.933,296,88,2.3636,0.3600472813238771,3227,3227,4230,2342,0
127,2012-07-05,1164,2168,0.4631,340,282,0.2057,95,61,0.5574,332,326,0.0184,122,104,0.1731,15,235,0.9362,296,88,2.3636,0.36278415748769627,3264,3264,4267,2364,0
128,2012-07-06,1179,2190,0.4616,338,283,0.1943,95,61,0.5574,344,330,0.0424,122,106,0.1509,15,247,0.9393,296,88,2.3636,0.36443825441039923,3305,3305,4308,2389,0
129,2012-07-07,1193,2211,0.4604,338,283,0.1943,95,61,0.5574,351,333,0.0541,122,107,0.1402,16,258,0.938,295,88,2.3523,0.36579189686924496,3341,3341,4344,2410,0
130,2012-07-08,1202,2233,0.4617,338,284,0.1901,95,62,0.5323,362,337,0.0742,122,108,0.1296,16,270,0.9407,295,88,2.3523,0.36898517673888254,3382,3382,4385,2430,0
131,2012-07-09,1214,2255,0.4616,338,285,0.186,95,62,0.5323,372,340,0.0941,122,109,0.1193,16,281,0.9431,295,88,2.3523,0.37169342075514356,3420,3420,4423,2452,0
132,2012-07-10,1214,2277,0.4668,338,285,0.186,95,62,0.5323,396,344,0.1512,122,110,0.1091,16,293,0.9454,294,95,2.0947,0.3779368986350414,3466,3466,4469,2475,0
133,2012-07-11,1228,2298,0.4656,338,286,0.1818,95,62,0.5323,408,347,0.1758,123,111,0.1081,17,304,0.9441,294,102,1.8824,0.37824063815643694,3510,3510,4513,2503,0
134,2012-07-12,1242,2320,0.4647,338,286,0.1818,95,62,0.5323,420,351,0.1966,123,112,0.0982,17,316,0.9462,294,110,1.6727,0.3785087719298246,3557,3557,4560,2529,0
135,2012-07-13,1248,2342,0.4671,338,287,0.1777,94,62,0.5161,441,352,0.2528,123,113,0.0885,17,316,0.9462,294,117,1.5128,0.38153310104529614,3589,3589,4592,2555,0
136,2012-07-14,1259,2363,0.4672,338,287,0.1777,94,62,0.5161,453,352,0.2869,122,114,0.0702,18,316,0.943,302,124,1.4355,0.38346678208180046,3618,3618,4621,2586,0
137,2012-07-15,1268,2385,0.4683,338,288,0.1736,94,63,0.4921,464,353,0.3144,122,115,0.0609,20,316,0.9367,306,132,1.3182,0.3836734693877551,3652,3652,4655,2612,0
138,2012-07-16,1274,2385,0.4658,338,288,0.1736,94,63,0.4921,477,354,0.3475,122,116,0.0517,22,316,0.9304,305,139,1.1942,0.38186106346483706,3661,3661,4664,2632,0
139,2012-07-17,1284,2385,0.4616,337,289,0.1661,94,63,0.4921,483,355,0.3606,122,118,0.0339,22,316,0.9304,305,146,1.089,0.3775401069518717,3672,3672,4675,2647,0
140,2012-07-18,1298,2396,0.4583,337,289,0.1661,94,63,0.4921,498,356,0.3989,122,119,0.0252,24,316,0.9241,305,154,0.9805,0.3758517887563884,3693,3693,4696,2678,0
141,2012-07-19,1309,2406,0.4559,336,290,0.1586,94,63,0.4921,504,357,0.4118,122,120,0.0167,24,316,0.9241,305,161,0.8944,0.37298558100084817,3713,3713,4716,2694,0
142,2012-07-20,1327,2417,0.451,336,290,0.1586,94,63,0.4921,508,357,0.423,122,121,0.0083,24,316,0.9241,305,168,0.8155,0.36916578669482575,3732,3732,4735,2716,0
143,2012-07-21,1333,2427,0.4508,336,291,0.1546,94,63,0.4921,515,358,0.4385,122,122,0.0,24,316,0.9241,305,176,0.733,0.3675357443229605,3753,3753,4756,2729,0
144,2012-07-22,1346,2438,0.4479,336,291,0.1546,94,63,0.4921,515,359,0.4345,122,124,0.0161,24,316,0.9241,305,189,0.6138,0.362533974492996,3780,3780,4783,2742,0
145,2012-07-23,1354,2449,0.4471,336,292,0.1507,94,64,0.4688,515,360,0.4306,122,125,0.024,24,316,0.9241,305,202,0.5099,0.3579297443358969,3808,3808,4811,2750,0
